avon-and-somerset,1179991,10739.01
bedfordshire,446762,2210.18
cambridgeshire,541603,5670.39
cheshire,652598,4586.91
cleveland,625540,1255.5
cumbria,317806,12305.75
derbyshire,712126,5486.54
devon-and-cornwall,945738,38163.14
dorset,489950,5717.58
durham,470367,3792.21
dyfed-powys,283066,27282.15
essex,1139916,6536.27
gloucestershire,396931,4408.73
greater-manchester,2422037,2172.56
gwent,436018,2546.01
hampshire,1285110,8013.59
hertfordshire,675711,3477.06
humberside,641973,6871.15
kent,1180176,6564.23
lancashire,1279113,5787.89
leicestershire,607167,5164.67
lincolnshire,428503,8610.42
merseyside,1099824,1827.71
metropolitan,7288385,2645.23
norfolk,506051,7657.6
north-wales,443732,13763.89
north-yorkshire,491911,16233.62
northamptonshire,560628,5027.81
northumbria,1176495,9864.57
nottinghamshire,810456,3617.24
south-wales,951046,4456.23
south-yorkshire,1335537,2540.37
staffordshire,703320,5360.47
suffolk,454274,6733.73
surrey,658383,2819.54
sussex,1047321,6366.66
thames-valley,1218841,8328.87
warwickshire,354958,4404.9
west-mercia,831926,13243.49
west-midlands,1856283,1863.48
west-yorkshire,1938332,3176.43
wiltshire,401059,5196.76
