cleveland,35762,8731,38578,10721,2522,21420,308671,38550,4967,17592,2325,24139,53574,54799,1912,1277
west-mercia,55582,14036,40350,17101,4194,37901,349593,58102,5329,30902,3298,43117,105707,61639,2777,2298
northamptonshire,42319,5685,29030,10215,2051,27746,224475,36080,4280,21754,4907,35838,64922,46597,2967,1762
cambridgeshire,39799,11723,27830,13291,2945,26602,187566,51180,17966,17887,3241,32964,58627,44391,3992,1599
staffordshire,41873,13125,38350,16376,3877,34857,237177,55421,4772,32409,4005,34313,114656,67493,2312,2304
merseyside,83277,25396,59683,52735,6844,50744,404454,68290,9313,27784,8481,64293,119406,106892,8925,3307
dorset,33922,5950,24895,7998,1939,20593,205763,41976,5910,16119,1493,28007,50595,40976,2776,1038
hampshire,81028,48661,73828,30248,8348,64904,495504,88607,17557,49885,5482,63362,132982,114058,6369,4287
sussex,60199,30380,52872,24681,5566,57221,384154,94070,11302,39809,5196,52136,129940,86739,8791,4265
surrey,47234,21596,25768,17642,3479,35380,248687,54021,5572,24828,2121,36327,75031,57214,1841,1642
thames-valley,97529,20909,91537,36755,9092,71569,290034,145529,26410,50356,8182,94142,140773,114882,16273,4869
south-yorkshire,103091,23944,68325,21085,4339,51653,597473,95422,6368,28104,7796,84871,119199,111384,8510,3973
nottinghamshire,60653,15039,49518,20804,3952,41260,278504,65801,8842,31670,7103,51698,98390,68887,5029,3306
greater-manchester,207491,92851,100998,43279,13806,113037,849924,169173,21220,80503,30144,165582,288669,210342,27364,7654
west-yorkshire,190842,54259,97300,37314,9754,100670,573900,179361,11376,58899,15603,157970,249276,176457,19766,5585
bedfordshire,36456,8167,22226,7276,2135,20042,171236,32066,4404,16635,4633,34676,47514,35651,2249,1396
cumbria,14850,6883,16468,8099,2162,14858,138817,19499,1636,12757,472,9244,37067,33514,691,789
avon-and-somerset,82615,52247,73892,26765,562,55813,377441,97304,15032,54158,7510,72424,155992,99004,6865,2367
west-midlands,174528,38810,107396,39586,10651,97158,523416,137694,15644,78885,42013,186975,221769,160926,14140,6692
northumbria,58480,40013,67432,25033,5764,48234,528177,77431,9460,25415,3698,43416,125232,109209,5351,4150
lancashire,84124,13161,52610,19595,4952,49655,588884,92560,9630,45394,4543,62909,135320,108542,5207,2027
hertfordshire,45368,18239,40065,24708,472,39808,229591,54233,6507,23889,3897,45377,74385,56246,5519,7407
norfolk,26884,15829,25502,13951,2240,24604,191651,36707,6333,21171,1845,17435,72268,46081,2108,1442
dyfed-powys,10296,4434,9864,16590,2290,11298,137476,16865,850,9267,273,7226,31970,23361,369,637
leicestershire,57071,12016,37911,11366,4781,35869,157084,58391,9822,29035,4989,53618,69448,59353,4405,2008
gwent,27837,10505,21911,12407,710,19365,181774,32415,1962,7053,1224,25356,46217,45297,1265,720
gloucestershire,33939,4007,21105,7560,1555,20014,175338,29224,4624,9600,1828,23289,32533,30064,1511,740
metropolitan,569501,190686,263405,258936,50433,394411,2001050,831667,88166,327934,202692,644707,880926,381926,181394,20551
south-wales,61441,33625,55706,27841,7045,46439,310023,76128,9838,34239,2909,64674,125128,87526,6288,2196
kent,85742,24613,68780,20431,3998,57715,362747,98794,8546,44433,7444,72448,197672,119139,4854,2820
durham,30242,10727,22064,7923,2243,19249,202670,29986,2694,12064,908,21796,57282,48309,1135,1075
humberside,68564,14451,47111,12183,4927,40489,148969,55907,10718,30387,4281,38386,89181,72003,2666,1750
north-wales,29135,7255,24961,8939,3409,20368,169996,31193,2517,21068,1035,15289,60874,45630,1042,1021
wiltshire,28852,8534,22096,7357,1447,17472,149708,31350,3911,14036,1390,22294,52496,37384,1726,1006
cheshire,39970,25933,37828,13507,3006,32240,272510,41639,6311,18137,1793,30007,70720,54245,3404,1348
devon-and-cornwall,50323,25992,47102,26526,9322,43956,340709,73756,4625,48319,2913,37742,135087,92312,4161,2893
lincolnshire,37019,6200,28422,10125,2907,23803,163913,34957,5605,16189,1407,22318,37092,35649,1438,1459
north-yorkshire,29246,6327,25680,11590,2272,20287,234754,35339,6394,15453,1047,17739,45390,37030,2344,1019
derbyshire,48965,6104,36838,16308,2703,32487,324798,47181,4632,27742,3996,40398,59880,55423,2836,1835
warwickshire,29612,5565,17246,6609,1442,15978,131126,31652,3392,10691,1901,28422,40917,27883,1522,1000
suffolk,30306,14120,23922,10311,4086,26132,150965,34314,5656,20282,1862,24851,60220,43868,1972,1407
essex,95030,29202,60809,22259,6501,50081,376751,89714,11088,45101,8046,89525,148579,94266,7421,5543
